name,type,lngs,lats
Đại học Công nghệ thông tin,area,"{106.80340748467131,106.8030283165429,106.80301672685647,106.80292920067978,106.80293935322618,106.80289404058743,106.80257910654558,106.80229707337952,106.80225881641508,106.80211039190141,106.80195821132486,106.80227857983084,106.80228926376321,106.80240292344052,106.80279821860444,106.80281739144033,106.80296424563136,106.80316742468642,106.8032168640787,106.80321709489897,106.80326306953458,106.80329611016793,106.8033282512456,106.80378330914175,106.80381300115141,106.80382463362179,106.80380352919269,106.80384938921571,106.80383654456506,106.80386102158275,106.8041795725689,106.80424196303113,106.804263391495,106.80450910053315,106.8046335719419,106.80489240633648,106.80490215918996,106.80487535982991,106.80491807123627,106.80488803376284,106.80485432854744,106.80447093243265,106.80457411458804,106.80457998406246,106.80455317559245,106.80344284146929,106.80343544509196,106.80340617570806}","{10.871571994649642,10.871839610105766,10.871834413472442,10.871736802404925,10.871688408554078,10.871568172044647,10.871072485337208,10.870736424011056,10.87076451881184,10.870599656173283,10.870407914565021,10.870123410916577,10.869477142712924,10.869339118667071,10.869279438849617,10.86899312212202,10.868927758076666,10.868932759459142,10.868958924256106,10.86883527969124,10.868873681096062,10.868857559401604,10.868855122794159,10.86909556398544,10.869126719184052,10.86918721090079,10.869217434251965,10.869250026104723,10.8693336522621,10.869626559674046,10.869654071572484,10.86970348933096,10.869778360466057,10.869785058770447,10.869667343666919,10.869916431227665,10.869946655650125,10.86997330038021,10.870008994580502,10.870382217165513,10.870414547837427,10.87041263024517,10.870542233583791,10.870656376749466,10.8707083929486,10.871543926733949,10.871574670482033,10.871579019643491}"
Căn Tin,area,"{106.80442545318942,106.80450024916087,106.8045310063817,106.8045834334643,106.8046058023532,106.80467220999026,106.80466941387965,106.80471694776799,106.8046058023532,106.80449955013262,106.80444362791104,106.80440168624517,106.80436393874658,106.80434925916256,106.80435065721906,106.80437302610676,106.80442405513406,106.80442335610581,106.80455127818698}","{10.87002829998059,10.870030359437266,10.870044775631058,10.870043402660414,10.870031732407966,10.870029672952512,10.86989031637249,10.869834711020005,10.869731051631106,10.86982510021744,10.869825786702663,10.86982921913237,10.869861483969245,10.86990130014425,10.86994042983018,10.869974754110899,10.869994662192084,10.870027613495836,10.869987797336478}"
Sân Bóng UIT,area,"{106.80380405093655,106.803662253771,106.80324173961435,106.80321142187012,106.80324859168502,106.80329935981854,106.80377977448308,106.8038055284016}","{10.869220151009785,10.869283237561177,10.869258220129979,10.869094232738917,10.868913606564021,10.868853678182859,10.869096430599896,10.869221168616264}"
Sân Bóng Chuyền UIT,area,"{106.8030072949619,106.80314838287978,106.80313948180475,106.80301433968475,106.80300841380233}","{10.869048059206776,10.86904874291173,10.869246620052778,10.869246558143672,10.869049350256432}"
Sân Bóng Rổ UIT,area,"{106.80293430726181,106.80294193157852,106.80281380101002,106.80280143528813,106.8029331005107}","{10.8692298378471,10.86900489835601,10.869006057539949,10.86922794907403,10.86922844535664}"
Trong Khuôn Viên Trường,area,"{106.80378594172527,106.80366784894113,106.80320677239627,106.80277873292488,106.80243186177177,106.80234547514681,106.8023470177776,106.80251780916325,106.80254196147303,106.80251636629822,106.80222535842614,106.80324216780281,106.80321473190418,106.80337566989198,106.80339399126092,106.80383050205052,106.80396614305602,106.80412885622792,106.80419241360454,106.80421596802876,106.80419642629897,106.804160113269,106.80383288950185,106.80381141690202,106.80377650865142,106.80378836834444}","{10.869286716532187,10.8693417689731,10.869311822775359,10.869342831058518,10.869385280771354,10.86949185364314,10.870092131726622,10.870035950829433,10.870048390992153,10.870096858591907,10.870406545112857,10.871322895325221,10.870523697300058,10.870270781178718,10.870253520236531,10.87026222008285,10.870205790677247,10.870090398040048,10.869980154171728,10.869861310041273,10.86972928402487,10.869706678818304,10.869669123639255,10.869655010081772,10.869337365164029,10.869287405463837}"
Thư Viện UIT,area,"{106.80288451664705,106.80284397108989,106.80288295720277,106.80288295720277,106.80285800609084,106.80291726498018,106.80296560775986,106.80302642609348,106.80307944720585,106.80318237054081,106.80315741942889,106.80317457331824,106.80317613276253,106.80314650331786,106.80317769220682,106.80308568498418,106.80304046109438,106.80301083164835}","{10.870542305776112,10.870600501308004,10.870634193452773,10.870718423796674,10.870752115926791,10.870816437258583,10.870778150752955,10.870787339514479,10.870831751858134,10.870727612560103,10.870706172110857,10.870683200200915,10.870646445140238,10.87061275299682,10.87056834062058,10.870490236081793,10.870525459700346,10.870500956313705}"
Tòa nhà A,area,"{106.80288139775473,106.80282057942111,106.80278783108662,106.80263812441757,106.80268490775165,106.80269270497422,106.80263188663923,106.80280030664329,106.8030295449795,106.80318704887117,106.80313714664857,106.8031433844269,106.80317925164991,106.80301395053567}","{10.870539242854392,10.870477984387378,10.870511676545988,10.87036925057808,10.870301866226214,10.87021457283744,10.870147188450701,10.869989447666796,10.869986384737217,10.870133405278054,10.87019619527885,10.870300334763698,10.870349341566708,10.870496361928645}"
Tòa nhà B,area,"{106.80370115805977,106.80363933554531,106.80368639447471,106.80375559878081,106.80388570287982,106.8039539844628,106.80397889801384,106.80394567994637,106.80398535708235,106.80423449258961,106.80417543824632,106.8041339156623,106.80406932497516,106.80401119335664,106.80380911677884,106.8037436033685,106.80367070816487,106.80354890858399,106.80348154972421,106.8034280317263,106.80340865452064,106.80362364923548,106.80370023533499,106.80364118099328}","{10.869937791527576,10.869959539568157,10.87003656386652,10.870042907042944,10.870028408353164,10.870003035644586,10.86998038143905,10.869944134706117,10.86986257954149,10.86985079934935,10.870006660317614,10.870078247595274,10.87014621018524,10.870187893899484,10.8702241406028,10.870225952937531,10.87020964192186,10.870153459526946,10.870080966099536,10.86997947527091,10.869877078239298,10.869825426625653,10.869939603864864,10.869959539568157}"
Tòa nhà E,area,"{106.80238179242599,106.80238179242599,106.802385891742,106.80240023934994,106.8024238104216,106.80242586007961,106.80271281224498,106.8027107625851,106.80273433365682,106.80273433365682,106.80275687989865,106.80279274891836,106.80281836964804,106.80282554345195,106.80280607169817,106.80275380541065,106.80271998604888,106.80238896623001}","{10.869677180419956,10.869691270612108,10.869703347919383,10.86971039301578,10.86971039301578,10.869799966360773,10.869802985686079,10.869774805310797,10.869776818195419,10.869801979244272,10.869818082314836,10.869831166058674,10.869821101639985,10.869803992127828,10.869727502532413,10.869727502532413,10.869673154650314,10.869677180419956}"
